"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900853"
"2","1st","4","11:56","Jump Ball Gibson vs Covington (Smith Jr. gains possession)","0","-80","0","0","0","10","203496","1610612752","201959","0","0","1628372","1610612752","60000","0021900853"
"3","1st","7","11:48","[HOU] Tucker Foul: Personal (1 PF) (J Sterling)","-4","75","0","0","1","6","203944","1610612745","200782","0","0","","1610612752","70000","0021900853"
"4","1st","9","11:38","[HOU] Covington Foul: Personal (1 PF) (M Ervin)","142","77","0","0","1","6","203944","1610612745","203496","0","0","","1610612752","90000","0021900853"
"5","1st","11","11:31","[NYK] Randle 3pt Shot: Missed","179","222","3","0","1","2","","1610612752","203944","0","0","","1610612752","110000","0021900853"
"6","1st","12","11:30","[HOU] Covington Rebound (Off:0 Def:1)","179","222","0","0","0","4","","1610612745","203496","0","0","","1610612752","120000","0021900853"
"7","1st","13","11:24","[HOU 2-0] Harden Driving Finger Roll Layup Shot: Made (2 PTS)","22","-10","2","1","75","1","","1610612745","201935","2","0","","1610612745","130000","0021900853"
"8","1st","14","11:09","[NYK 2-2] Gibson Reverse Layup Shot: Made (2 PTS) Assist: Barrett (1 AST)","7","7","2","0","44","1","","1610612752","201959","2","2","1629628","1610612752","140000","0021900853"
"9","1st","16","10:54","[HOU 5-2] Covington 3pt Shot: Made (3 PTS) Assist: House Jr. (1 AST)","107","231","3","0","1","1","","1610612745","203496","5","2","1627863","1610612745","160000","0021900853"
"10","1st","18","10:35","[NYK] Barrett Fadeaway Jump Shot: Missed","-90","39","2","0","63","2","","1610612752","1629628","5","2","","1610612752","180000","0021900853"
"11","1st","19","10:33","[NYK] Gibson Rebound (Off:1 Def:0)","-90","39","1","0","0","4","","1610612752","201959","5","2","","1610612752","190000","0021900853"
"12","1st","20","10:32","[NYK] Gibson Layup Shot: Missed","-29","9","2","0","5","2","203496","1610612752","201959","5","2","","1610612752","2e+05","0021900853"
"13","1st","22","10:31","[NYK] Barrett Rebound (Off:1 Def:0)","-29","9","1","0","0","4","","1610612752","1629628","5","2","","1610612752","220000","0021900853"
"14","1st","23","10:26","[NYK 4-5] Barrett Layup Shot: Made (2 PTS)","3","12","2","0","5","1","","1610612752","1629628","5","4","","1610612752","230000","0021900853"
"15","1st","24","10:14","[HOU 7-4] Gordon Driving Layup Shot: Made (2 PTS) Assist: Harden (1 AST)","10","-1","2","0","6","1","","1610612745","201569","7","4","201935","1610612745","240000","0021900853"
"16","1st","26","09:58","[NYK] Randle Turnaround Jump Shot: Missed","-9","52","2","0","47","2","200782","1610612752","203944","7","4","","1610612752","260000","0021900853"
"17","1st","28","09:55","[HOU] House Jr. Rebound (Off:0 Def:1)","-9","52","0","0","0","4","","1610612745","1627863","7","4","","1610612752","280000","0021900853"
"18","1st","29","09:50","[NYK] Smith Jr. Foul: Shooting (1 PF) (2 FTA) (J Sterling)","27","9","0","0","2","6","201935","1610612752","1628372","7","4","","1610612745","290000","0021900853"
"19","1st","31","09:50","[HOU] Harden Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612745","201935","7","4","","1610612745","310000","0021900853"
"20","1st","32","09:50","[HOU] Team Rebound","0","-80","1","0","1","4","","1610612745","0","7","4","","1610612745","310001","0021900853"
"21","1st","33","09:50","[HOU 8-4] Harden Free Throw 2 of 2 (3 PTS)","0","-80","1","0","12","3","","1610612745","201935","8","4","","1610612745","330000","0021900853"
"22","1st","34","09:35","[NYK 6-8] Randle Cutting Dunk Shot: Made (2 PTS) Assist: Barrett (2 AST)","-19","-2","2","0","108","1","","1610612752","203944","8","6","1629628","1610612752","340000","0021900853"
"23","1st","36","09:18","[HOU 10-6] House Jr. Driving Layup Shot: Made (2 PTS) Assist: Harden (2 AST)","18","0","2","0","6","1","","1610612745","1627863","10","6","201935","1610612745","360000","0021900853"
"24","1st","38","09:12","[NYK] Team Timeout : Regular","0","-80","0","0","1","9","","1610612752","1610612752","10","6","","1610612752","380000","0021900853"
"25","1st","39","08:59","[NYK] Randle Turnover : Lost Ball (1 TO) Steal:Harden (1 ST)","8","88","1","0","2","5","201935","1610612752","203944","10","6","","1610612752","390000","0021900853"
"26","1st","41","08:57","[NYK] Randle Foul: Personal (1 PF) (J Sterling)","6","757","0","0","1","6","203496","1610612752","203944","10","6","","1610612745","410000","0021900853"
"27","1st","43","08:47","[HOU] Harden Driving Floating Jump Shot: Missed","-8","40","2","0","101","2","","1610612745","201935","10","6","","1610612745","430000","0021900853"
"28","1st","44","08:45","[HOU] Harden Rebound (Off:1 Def:0)","-8","40","1","0","0","4","","1610612745","201935","10","6","","1610612745","440000","0021900853"
"29","1st","45","08:45","[NYK] Harkless Foul: Shooting (1 PF) (2 FTA) (M Ervin)","11","26","0","0","2","6","201935","1610612752","203090","10","6","","1610612745","450000","0021900853"
"30","1st","47","08:45","[HOU] Harden Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612745","201935","10","6","","1610612745","470000","0021900853"
"31","1st","48","08:45","[HOU] Team Rebound","0","-80","1","0","1","4","","1610612745","0","10","6","","1610612745","470001","0021900853"
"32","1st","49","08:45","[HOU 11-6] Harden Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612745","201935","11","6","","1610612745","490000","0021900853"
