"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900142"
"2","1st","4","11:57","Jump Ball Capela vs Favors (Tucker gains possession)","0","-80","0","0","0","10","202324","1610612745","203991","0","0","200782","1610612745","60000","0021900142"
"3","1st","7","11:46","[HOU] Tucker 3pt Shot: Missed","226","20","3","0","1","2","","1610612745","200782","0","0","","1610612745","70000","0021900142"
"4","1st","8","11:41","[NOP] Favors Rebound (Off:0 Def:1)","226","20","0","0","0","4","","1610612740","202324","0","0","","1610612745","80000","0021900142"
"5","1st","9","11:29","[NOP] Holiday Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","238","192","0","0","45","5","","1610612740","201950","0","0","","1610612740","90000","0021900142"
"6","1st","10","11:20","[HOU] Tucker 3pt Shot: Missed","198","152","3","0","1","2","","1610612745","200782","0","0","","1610612745","1e+05","0021900142"
"7","1st","11","11:15","[HOU] Capela Rebound (Off:1 Def:0)","198","152","1","0","0","4","","1610612745","203991","0","0","","1610612745","110000","0021900142"
"8","1st","12","11:03","[HOU 2-0] Tucker Floating Jump shot: Made (2 PTS) Assist: Harden (1 AST)","25","3","2","0","78","1","","1610612745","200782","0","2","201935","1610612745","120000","0021900142"
"9","1st","14","10:48","[NOP 3-2] Hart 3pt Shot: Made (3 PTS) Assist: Favors (1 AST)","227","-10","3","0","1","1","","1610612740","1628404","3","2","202324","1610612740","140000","0021900142"
"10","1st","16","10:32","[HOU] Westbrook 3pt Shot: Missed","186","166","3","0","1","2","","1610612745","201566","3","2","","1610612745","160000","0021900142"
"11","1st","17","10:29","[NOP] Holiday Rebound (Off:0 Def:1)","186","166","0","0","0","4","","1610612740","201950","3","2","","1610612745","170000","0021900142"
"12","1st","18","10:17","[NOP] Holiday 3pt Shot: Missed","-60","256","3","0","80","2","","1610612740","201950","3","2","","1610612740","180000","0021900142"
"13","1st","19","10:12","[HOU] Capela Rebound (Off:1 Def:1)","-60","256","0","0","0","4","","1610612745","203991","3","2","","1610612740","190000","0021900142"
"14","1st","20","10:03","[HOU 5-3] Westbrook 3pt Shot: Made (3 PTS) Assist: Harden (2 AST)","-223","126","3","0","1","1","","1610612745","201566","3","5","201935","1610612745","2e+05","0021900142"
"15","1st","22","09:50","[NOP] Redick Driving Floating Bank Jump Shot: Missed","-2","73","2","0","102","2","","1610612740","200755","3","5","","1610612740","220000","0021900142"
"16","1st","23","09:48","[HOU] Capela Rebound (Off:1 Def:2)","-2","73","0","0","0","4","","1610612745","203991","3","5","","1610612740","230000","0021900142"
"17","1st","24","09:37","[HOU] Westbrook Foul: Offensive Charge (1 PF) (J Goble)","-116","67","0","0","26","6","200755","1610612745","201566","3","5","","1610612745","240000","0021900142"
"18","1st","26","09:37","[HOU] Westbrook Turnover : Offensive Foul Turnover (1 TO)","-116","67","0","0","37","5","","1610612745","201566","3","5","","1610612745","260000","0021900142"
"19","1st","27","09:23","[NOP] Favors Driving Layup Shot: Missed","19","11","2","0","6","2","","1610612740","202324","3","5","","1610612740","270000","0021900142"
"20","1st","28","09:21","[HOU] Capela Rebound (Off:1 Def:3)","19","11","0","0","0","4","","1610612745","203991","3","5","","1610612740","280000","0021900142"
"21","1st","29","09:12","[HOU] Capela Turnover : Traveling (1 TO)","6","35","0","0","4","5","","1610612745","203991","3","5","","1610612745","290000","0021900142"
"22","1st","30","08:58","[NOP] Hart Turnover : Bad Pass (1 TO) Steal:Harden (1 ST)","5","210","1","0","1","5","201935","1610612740","1628404","3","5","","1610612740","3e+05","0021900142"
"23","1st","31","08:49","[HOU] House Jr. 3pt Shot: Missed","229","3","3","0","1","2","","1610612745","1627863","3","5","","1610612745","310000","0021900142"
"24","1st","32","08:46","[HOU] Capela Rebound (Off:2 Def:3)","229","3","1","0","0","4","","1610612745","203991","3","5","","1610612745","320000","0021900142"
"25","1st","33","08:44","[HOU 7-3] Capela Putback Layup Shot: Made (2 PTS)","-2","17","2","0","72","1","","1610612745","203991","3","7","","1610612745","330000","0021900142"
"26","1st","34","08:35","[NOP] Williams 3pt Shot: Missed","227","-16","3","0","1","2","","1610612740","1629026","3","7","","1610612740","340000","0021900142"
"27","1st","35","08:33","[NOP] Favors Rebound (Off:1 Def:1)","227","-16","1","0","0","4","","1610612740","202324","3","7","","1610612740","350000","0021900142"
"28","1st","36","08:29","[NOP 6-7] Redick 3pt Shot: Made (3 PTS) Assist: Favors (2 AST)","118","234","3","0","1","1","","1610612740","200755","6","7","202324","1610612740","360000","0021900142"
